paper_id,title,summary,authors,categories,primary_category,published,updated,abs_url,pdf_url,comment,age_days,authors_joined,categories_joined,summary_chars,text_for_embedding
10.1145/3805774,A Survey on Retrieval-Augmented Text Generation for Large Language Models,,"['Yizheng Huang', 'Jimmy Xiangji Huang']",[],,2016-09-30,2026-05-15,https://doi.org/10.1145/3805774,,,3597,"Yizheng Huang, Jimmy Xiangji Huang",,0,"A Survey on Retrieval-Augmented Text Generation for Large Language Models 

Yizheng Huang, Jimmy Xiangji Huang"
10.2118/234689-pa,SafeRAG: A Large-Language-Model-Based Multistage Retrieval-Augmented Framework for Oil and Gas Safety Report Generation,"Summary In high-risk industrial settings, leveraging large language models (LLMs) for automated accident analysis and generating safety reports has emerged as an efficient workflow. However, this approach is fundamentally constrained by the models’ inherent knowledge limitations, frequently resulting in analyses that lack domain-specific understanding and regulatory alignment. To tackle this issue, we introduce SafeRAG, a multistage retrieval-augmented framework for safety report generation. Specifically, the framework uses an entity-centric approach that prompts the LLMs to internally generate domain-specific knowledge. Concurrently, it performs a hierarchical retrieval of external regulations relevant to the accident at topic, concept, and context levels. To obtain well-structured reports, we leverage prompt engineering, integrating internal and external knowledge. Furthermore, a domain-expert persona is also assigned to help LLMs analyze accidents from a specific perspective. To evaluate our approach, we construct a data set from 10,818 accident-description/report pairs collected from real-world industry reports. Experiments show that SafeRAG substantially outperforms baseline LLMs on metrics that include bidirectional encoder representations from transformers (BERTScore) and bidirectional auto-regressive transformers (BARTScore), demonstrating the effectiveness of our approach.","['Qianwen Cao', 'Chiyu Zhang', 'Junxiong Ning', 'Gongru Li']",[],,2026-08-01,2026-08-05,https://doi.org/10.2118/234689-pa,https://onepetro.org/SJ/article-pdf/doi/10.2118/234689-PA/5396255/spe-234689-pa.pdf,,5,"Qianwen Cao, Chiyu Zhang, Junxiong Ning, Gongru Li",,1404,"SafeRAG: A Large-Language-Model-Based Multistage Retrieval-Augmented Framework for Oil and Gas Safety Report Generation 

Summary In high-risk industrial settings, leveraging large language models (LLMs) for automated accident analysis and generating safety reports has emerged as an efficient workflow. However, this approach is fundamentally constrained by the models’ inherent knowledge limitations, frequently resulting in analyses that lack domain-specific understanding and regulatory alignment. To tackle this issue, we introduce SafeRAG, a multistage retrieval-augmented framework for safety report generation. Specifically, the framework uses an entity-centric approach that prompts the LLMs to internally generate domain-specific knowledge. Concurrently, it performs a hierarchical retrieval of external regulations relevant to the accident at topic, concept, and context levels. To obtain well-structured reports, we leverage prompt engineering, integrating internal and external knowledge. Furthermore, a domain-expert persona is also assigned to help LLMs analyze accidents from a specific perspective. To evaluate our approach, we construct a data set from 10,818 accident-description/report pairs collected from real-world industry reports. Experiments show that SafeRAG substantially outperforms baseline LLMs on metrics that include bidirectional encoder representations from transformers (BERTScore) and bidirectional auto-regressive transformers (BARTScore), demonstrating the effectiveness of our approach. 

Qianwen Cao, Chiyu Zhang, Junxiong Ning, Gongru Li"
10.1145/3818621,TeaRAG: A Token-Efficient Agentic Retrieval-Augmented Generation Framework,"Retrieval-Augmented Generation (RAG) utilizes external knowledge to augment Large Language Models’ (LLMs) reliability. For flexibility, agentic RAG employs autonomous, multi-round retrieval and reasoning to resolve queries. Although recent agentic RAG has improved via reinforcement learning, they often incur substantial token overhead from search and reasoning. This tradeoff prioritizes accuracy over efficiency. To address this issue, this work proposes TeaRAG, a T oken- e fficient a gentic RAG framework capable of compressing both retrieval content and reasoning steps. (1) First, the retrieved content is compressed by augmenting chunk-based semantic retrieval with a graph retrieval using concise triplets. A knowledge association graph is then built from semantic similarity and co-occurrence. Finally, Personalized PageRank is leveraged to highlight key knowledge within this graph, reducing the number of tokens per retrieval. (2) Besides, to reduce reasoning steps, Iterative Process-aware Direct Preference Optimization (IP-DPO) is proposed. Specifically, our reward function evaluates the knowledge sufficiency by a knowledge matching mechanism, while penalizing excessive reasoning steps. This design can produce high-quality preference-pair datasets, supporting iterative DPO to improve reasoning conciseness. Across six datasets, TeaRAG improves the average Exact Match by \(4\%\) and \(2\%\) while reducing output tokens by \(61\%\) and \(59\%\) on Llama3-8B-Instruct and Qwen2.5-14B-Instruct, respectively. Code is available at https://github.com/Applied-Machine-Learning-Lab/TeaRAG .","['Chao Zhang', 'Yuhao Wang', 'Derong Xu', 'Haoxin Zhang', 'Yuanjie Lyu', 'Yuhao Chen', 'Shuochen Liu', 'Tong Xu', 'Xiangyu Zhao', 'Yan Gao', 'Yao Hu', 'Enhong Chen']",[],,2026-07-31,2026-07-20,https://doi.org/10.1145/3818621,,,6,"Chao Zhang, Yuhao Wang, Derong Xu, Haoxin Zhang, Yuanjie Lyu, Yuhao Chen, Shuochen Liu, Tong Xu, Xiangyu Zhao, Yan Gao, Yao Hu, Enhong Chen",,1604,"TeaRAG: A Token-Efficient Agentic Retrieval-Augmented Generation Framework 

Retrieval-Augmented Generation (RAG) utilizes external knowledge to augment Large Language Models’ (LLMs) reliability. For flexibility, agentic RAG employs autonomous, multi-round retrieval and reasoning to resolve queries. Although recent agentic RAG has improved via reinforcement learning, they often incur substantial token overhead from search and reasoning. This tradeoff prioritizes accuracy over efficiency. To address this issue, this work proposes TeaRAG, a T oken- e fficient a gentic RAG framework capable of compressing both retrieval content and reasoning steps. (1) First, the retrieved content is compressed by augmenting chunk-based semantic retrieval with a graph retrieval using concise triplets. A knowledge association graph is then built from semantic similarity and co-occurrence. Finally, Personalized PageRank is leveraged to highlight key knowledge within this graph, reducing the number of tokens per retrieval. (2) Besides, to reduce reasoning steps, Iterative Process-aware Direct Preference Optimization (IP-DPO) is proposed. Specifically, our reward function evaluates the knowledge sufficiency by a knowledge matching mechanism, while penalizing excessive reasoning steps. This design can produce high-quality preference-pair datasets, supporting iterative DPO to improve reasoning conciseness. Across six datasets, TeaRAG improves the average Exact Match by \(4\%\) and \(2\%\) while reducing output tokens by \(61\%\) and \(59\%\) on Llama3-8B-Instruct and Qwen2.5-14B-Instruct, respectively. Code is available at https://github.com/Applied-Machine-Learning-Lab/TeaRAG . 

Chao Zhang, Yuhao Wang, Derong Xu, Haoxin Zhang, Yuanjie Lyu, Yuhao Chen, Shuochen Liu, Tong Xu, Xiangyu Zhao, Yan Gao, Yao Hu, Enhong Chen"
10.3390/jcm15135253,Retrieval-Augmented Large Language Model for Angiographic Prediction of Coronary Physiology,"Background: Invasive physiologic assessment is often needed for moderately stenotic coronary lesions, although it remains underused in routine practice. It remains unknown whether GPT-based large language models (LLMs) can estimate coronary physiology from coronary angiographic images, and whether retrieval augmentation can improve this task. Methods: We performed a retrospective pilot study of consecutive cases undergoing coronary angiography with invasive instantaneous wave-free ratio (iFR) assessment between 2023 and 2025. Eligible cases required invasive iFR and two orthogonal end-diastolic still frames of the target vessel at maximal opacification. We compared a baseline GPT-5.2 model without retrieval-augmented generation (RAG), termed No-RAG, with the same GPT-5.2 model using RAG, termed RAG. Both conditions received identical angiographic frames and structured clinical text. The RAG modification added the top five case-specific text chunks retrieved from four coronary physiology/revascularization documents to provide physiologic thresholds, guideline context, and uncertainty framing; no additional angiographic images or lesion-specific iFR information were provided. Frame-level predictions were averaged to derive a case-level predicted iFR. The primary endpoint was agreement between predicted and measured iFR. Results: Of 34 eligible cases screened, 32 vessels were included. The cohort comprised 25/32 cases (78.1%) with significant disease (iFR ≤ 0.89) and 7 cases classified as non-ischemic. Without RAG, mean absolute error (MAE) was 0.064 and the root mean square error (RMSE) was 0.083, with weak correlation with invasive iFR (r = 0.205, p = 0.259). With RAG, point estimates favored improved continuous agreement, with MAE decreasing to 0.029, RMSE to 0.038, and correlation increasing to r = 0.830 (p &lt; 0.001). Threshold-based classification also yielded higher point estimates for accuracy, increasing from 0.750 to 0.906. Conclusions: In this small pilot study, improved point estimates for agreement between LLM-predicted and invasively measured iFR were seen after adding RAG to a GPT-based model for estimating iFR from angiographic imaging. These findings suggest that functionally classifying coronary stenoses is limited by overestimating severity in less severe stenoses, and that a scaling correction is needed. The results, however, require validation in larger, more balanced cohorts.","['Sant Kumar', 'Keshav Nandakumar', 'Pedro A. Villablanca', 'Vikas Aggarwal', 'Hursh Naik', 'Nezar Falluji']",[],,2026-07-05,2026-07-06,https://doi.org/10.3390/jcm15135253,,,32,"Sant Kumar, Keshav Nandakumar, Pedro A. Villablanca, Vikas Aggarwal, Hursh Naik, Nezar Falluji",,2438,"Retrieval-Augmented Large Language Model for Angiographic Prediction of Coronary Physiology 

Background: Invasive physiologic assessment is often needed for moderately stenotic coronary lesions, although it remains underused in routine practice. It remains unknown whether GPT-based large language models (LLMs) can estimate coronary physiology from coronary angiographic images, and whether retrieval augmentation can improve this task. Methods: We performed a retrospective pilot study of consecutive cases undergoing coronary angiography with invasive instantaneous wave-free ratio (iFR) assessment between 2023 and 2025. Eligible cases required invasive iFR and two orthogonal end-diastolic still frames of the target vessel at maximal opacification. We compared a baseline GPT-5.2 model without retrieval-augmented generation (RAG), termed No-RAG, with the same GPT-5.2 model using RAG, termed RAG. Both conditions received identical angiographic frames and structured clinical text. The RAG modification added the top five case-specific text chunks retrieved from four coronary physiology/revascularization documents to provide physiologic thresholds, guideline context, and uncertainty framing; no additional angiographic images or lesion-specific iFR information were provided. Frame-level predictions were averaged to derive a case-level predicted iFR. The primary endpoint was agreement between predicted and measured iFR. Results: Of 34 eligible cases screened, 32 vessels were included. The cohort comprised 25/32 cases (78.1%) with significant disease (iFR ≤ 0.89) and 7 cases classified as non-ischemic. Without RAG, mean absolute error (MAE) was 0.064 and the root mean square error (RMSE) was 0.083, with weak correlation with invasive iFR (r = 0.205, p = 0.259). With RAG, point estimates favored improved continuous agreement, with MAE decreasing to 0.029, RMSE to 0.038, and correlation increasing to r = 0.830 (p &lt; 0.001). Threshold-based classification also yielded higher point estimates for accuracy, increasing from 0.750 to 0.906. Conclusions: In this small pilot study, improved point estimates for agreement between LLM-predicted and invasively measured iFR were seen after adding RAG to a GPT-based model for estimating iFR from angiographic imaging. These findings suggest that functionally classifying coronary stenoses is limited by overestimating severity in less severe stenoses, and that a scaling correction is needed. The results, however, require validation in larger, more balanced cohorts. 

Sant Kumar, Keshav Nandakumar, Pedro A. Villablanca, Vikas Aggarwal, Hursh Naik, Nezar Falluji"
10.3390/buildings16132637,"An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models","Designers, engineers, and building officials face increasing pressure to accelerate and improve the accuracy of design review for buildings and infrastructure. Roof assemblies and rooftop structures are particularly challenging due to the complexity and fragmentation of regulatory requirements, especially in jurisdictions such as Florida, where compliance must be verified across both the residential and commercial volumes of the Florida Building Code (FBC). The resulting review process is technically demanding and time-intensive, imposing significant cognitive and operational burdens on practitioners and under-resourced public agencies. To address these challenges, this study proposes and evaluates an agentic artificial intelligence (AI) framework for automated code compliance checking of roof assemblies and rooftop structures. The framework employs a multi-agent architecture in which specialized AI agents collaboratively interpret regulatory provisions and evaluate roof design parameters across four core modules: data preprocessing and code ingestion, rule-based and semantic analysis, results visualization, and iterative validation. YOLO11m-seg and Mask R-CNN were used for element detection and segmentation, and the system was developed using 150 design projects, including roof plans, section details, and specifications. Four large language models from two families (Mistral and GPT) were comparatively evaluated on standardized compliance tasks. The framework was then tested on a held-out portfolio of 15 distinct roof-design projects comprising 60 code-compliance decisions derived from the FBC 2023, with performance measured by precision, recall, F1-score, and accuracy. GPT-5.4 achieved the highest overall performance (F1 = 0.97; accuracy = 97%). Because the reasoning and vision components were evaluated separately rather than as an integrated end-to-end pipeline, and the scope was limited to one jurisdiction and two drawing types, broader code coverage and production-setting validation are needed before claims of generality. Nonetheless, the results suggest that agentic AI can meaningfully support compliance review and reduce reviewer burden in roof-design permitting.","['Nawari O. Nawari', 'Oluwatoyin O. Lawal']",[],,2026-07-02,2026-07-02,https://doi.org/10.3390/buildings16132637,,,35,"Nawari O. Nawari, Oluwatoyin O. Lawal",,2207,"An Agentic AI System for Roof Design Compliance Using Computer Vision, Retrieval-Augmented Generation and Large Language Models 

Designers, engineers, and building officials face increasing pressure to accelerate and improve the accuracy of design review for buildings and infrastructure. Roof assemblies and rooftop structures are particularly challenging due to the complexity and fragmentation of regulatory requirements, especially in jurisdictions such as Florida, where compliance must be verified across both the residential and commercial volumes of the Florida Building Code (FBC). The resulting review process is technically demanding and time-intensive, imposing significant cognitive and operational burdens on practitioners and under-resourced public agencies. To address these challenges, this study proposes and evaluates an agentic artificial intelligence (AI) framework for automated code compliance checking of roof assemblies and rooftop structures. The framework employs a multi-agent architecture in which specialized AI agents collaboratively interpret regulatory provisions and evaluate roof design parameters across four core modules: data preprocessing and code ingestion, rule-based and semantic analysis, results visualization, and iterative validation. YOLO11m-seg and Mask R-CNN were used for element detection and segmentation, and the system was developed using 150 design projects, including roof plans, section details, and specifications. Four large language models from two families (Mistral and GPT) were comparatively evaluated on standardized compliance tasks. The framework was then tested on a held-out portfolio of 15 distinct roof-design projects comprising 60 code-compliance decisions derived from the FBC 2023, with performance measured by precision, recall, F1-score, and accuracy. GPT-5.4 achieved the highest overall performance (F1 = 0.97; accuracy = 97%). Because the reasoning and vision components were evaluated separately rather than as an integrated end-to-end pipeline, and the scope was limited to one jurisdiction and two drawing types, broader code coverage and production-setting validation are needed before claims of generality. Nonetheless, the results suggest that agentic AI can meaningfully support compliance review and reduce reviewer burden in roof-design permitting. 

Nawari O. Nawari, Oluwatoyin O. Lawal"
10.21079/11681/50309,Microsoft Azure artificial intelligence / machine learning hackathon for development of retrieval-augmented generation large language model,"The US Army Corps of Engineers (USACE) Civil Works (CW) research and development (R&amp;D) mission is to address challenging environmental sustainability problems through innovative science and engineering, which helps to ensure a safer, more prosperous, and more resilient nation. To achieve this, the US Army Engineer Research and Development Center (ERDC) plans, executes, leads, and directs many R&amp;D programs in coordination with USACE Headquarters, Districts, and Divisions through its multiple strategic focus areas, which include infrastructure, water modeling, crisis preparedness, ecosystem, sediment management, data, artificial intelligence, and robotics. In this process, much information is generated, including internal progress reviews, financial reports, scopes of work, work package planning, and success stories.","['Janet L. Autrey', 'Lacey S. Duckworth', 'Ashly N. Horner', 'Thomas Sigler', 'Victoria D. Moore']",[],,2026-07-01,2026-07-10,https://doi.org/10.21079/11681/50309,,,36,"Janet L. Autrey, Lacey S. Duckworth, Ashly N. Horner, Thomas Sigler, Victoria D. Moore",,834,"Microsoft Azure artificial intelligence / machine learning hackathon for development of retrieval-augmented generation large language model 

The US Army Corps of Engineers (USACE) Civil Works (CW) research and development (R&amp;D) mission is to address challenging environmental sustainability problems through innovative science and engineering, which helps to ensure a safer, more prosperous, and more resilient nation. To achieve this, the US Army Engineer Research and Development Center (ERDC) plans, executes, leads, and directs many R&amp;D programs in coordination with USACE Headquarters, Districts, and Divisions through its multiple strategic focus areas, which include infrastructure, water modeling, crisis preparedness, ecosystem, sediment management, data, artificial intelligence, and robotics. In this process, much information is generated, including internal progress reviews, financial reports, scopes of work, work package planning, and success stories. 

Janet L. Autrey, Lacey S. Duckworth, Ashly N. Horner, Thomas Sigler, Victoria D. Moore"
10.1038/s41746-026-02944-4,AFP assistant: a retrieval-augmented generation and large language model-powered multilingual polio chatbot for low-resource language communities,"Abstract Acute flaccid paralysis (AFP) surveillance in Ethiopia remains limited due to hard-to-reach populations, restricted healthcare access, low public awareness, and persistent underreporting within community-based surveillance (CBS) systems. Contributing to this are inadequate training of community reporters, communication barriers, and cultural beliefs and misinformation that further hinder timely case detection. Here, AFP Assistant, a multilingual large language model powered chatbot, is developed to strengthen CBS through improved health communication and real-time reporting. The system supports Amharic, Afaan Oromo, and English to enhance accessibility and inclusivity. A curated dataset derived from literature, guidelines, and community interviews was translated and validated by experts to ensure clinical and cultural accuracy. The system integrates supervised fine-tuning with retrieval-augmented generation (RAG) to deliver accurate, context-aware responses. Trained on 468 question–answer pairs using pretrained Gemini 2.5-flash, the model achieved an accuracy of 0.90 and a loss of 0.31. The RAG framework improved retrieval relevance, grounding, and response efficiency. Evaluation through in-house testing and human annotation using a structured rubric demonstrated robust performance across tasks and languages, while user feedback confirmed usability and relevance. These findings highlight the potential of AI-driven chatbots to enhance AFP surveillance and equitable health communication in low-resource settings.","['Gelane Biru', 'Honey Gemechu', 'Firanol Teshome', 'Eyerusalem Gebremeskel', 'Hundessa Daba Nemomssa', 'Kokeb Dese', 'Melaku Tilahun', 'Karrasaaqii Bulti Wakgari', 'Nardos Bisrat', 'Gelan Ayana', 'Jude Kong']",[],,2026-06-30,2026-06-30,https://doi.org/10.1038/s41746-026-02944-4,,,37,"Gelane Biru, Honey Gemechu, Firanol Teshome, Eyerusalem Gebremeskel, Hundessa Daba Nemomssa, Kokeb Dese, Melaku Tilahun, Karrasaaqii Bulti Wakgari, Nardos Bisrat, Gelan Ayana, Jude Kong",,1544,"AFP assistant: a retrieval-augmented generation and large language model-powered multilingual polio chatbot for low-resource language communities 

Abstract Acute flaccid paralysis (AFP) surveillance in Ethiopia remains limited due to hard-to-reach populations, restricted healthcare access, low public awareness, and persistent underreporting within community-based surveillance (CBS) systems. Contributing to this are inadequate training of community reporters, communication barriers, and cultural beliefs and misinformation that further hinder timely case detection. Here, AFP Assistant, a multilingual large language model powered chatbot, is developed to strengthen CBS through improved health communication and real-time reporting. The system supports Amharic, Afaan Oromo, and English to enhance accessibility and inclusivity. A curated dataset derived from literature, guidelines, and community interviews was translated and validated by experts to ensure clinical and cultural accuracy. The system integrates supervised fine-tuning with retrieval-augmented generation (RAG) to deliver accurate, context-aware responses. Trained on 468 question–answer pairs using pretrained Gemini 2.5-flash, the model achieved an accuracy of 0.90 and a loss of 0.31. The RAG framework improved retrieval relevance, grounding, and response efficiency. Evaluation through in-house testing and human annotation using a structured rubric demonstrated robust performance across tasks and languages, while user feedback confirmed usability and relevance. These findings highlight the potential of AI-driven chatbots to enhance AFP surveillance and equitable health communication in low-resource settings. 

Gelane Biru, Honey Gemechu, Firanol Teshome, Eyerusalem Gebremeskel, Hundessa Daba Nemomssa, Kokeb Dese, Melaku Tilahun, Karrasaaqii Bulti Wakgari, Nardos Bisrat, Gelan Ayana, Jude Kong"
10.1088/2515-7647/ae7491,OptoChat: a large language model with retrieval augmented generation for optics,"Abstract Large language models (LLMs) show strong performance in general text generation and knowledge-based question answering (QA). However, a substantial performance gap remains in optics, a knowledge-intensive scientific field. General-purpose LLMs, trained and tuned without sufficient optics knowledge, often hallucinate when handling optics-related queries. We present OptoChat, a retrieval-augmented LLM purpose-built for the optical domain. By combining domain-specific retrieval-augmented generation with targeted optimization, OptoChat delivers precise, contextually grounded answers for optics QA. To the best of our knowledge, this is the first work to adapt and optimize LLMs specifically for optics knowledge understanding and QA. Experimental results show that OptoChat achieves state-of-the-art performance on optics-focused QA benchmarks and significantly outperforms recent general-purpose models. The interactive website is available at https://optochatai.com .","['Xiaoqing Bao', 'Hairuo Wang', 'Silin Chen', 'Yali Zhang', 'Wenjun Chen', 'Kangjian Di', 'Mengcheng Lv', 'Minghui Zhao', 'Guohao Wang', 'Wenzheng Zhao', 'Ningmu Zou']",[],,2026-06-01,2026-06-22,https://doi.org/10.1088/2515-7647/ae7491,https://iopscience.iop.org/article/10.1088/2515-7647/ae7491/pdf,,66,"Xiaoqing Bao, Hairuo Wang, Silin Chen, Yali Zhang, Wenjun Chen, Kangjian Di, Mengcheng Lv, Minghui Zhao, Guohao Wang, Wenzheng Zhao, Ningmu Zou",,981,"OptoChat: a large language model with retrieval augmented generation for optics 

Abstract Large language models (LLMs) show strong performance in general text generation and knowledge-based question answering (QA). However, a substantial performance gap remains in optics, a knowledge-intensive scientific field. General-purpose LLMs, trained and tuned without sufficient optics knowledge, often hallucinate when handling optics-related queries. We present OptoChat, a retrieval-augmented LLM purpose-built for the optical domain. By combining domain-specific retrieval-augmented generation with targeted optimization, OptoChat delivers precise, contextually grounded answers for optics QA. To the best of our knowledge, this is the first work to adapt and optimize LLMs specifically for optics knowledge understanding and QA. Experimental results show that OptoChat achieves state-of-the-art performance on optics-focused QA benchmarks and significantly outperforms recent general-purpose models. The interactive website is available at https://optochatai.com . 

Xiaoqing Bao, Hairuo Wang, Silin Chen, Yali Zhang, Wenjun Chen, Kangjian Di, Mengcheng Lv, Minghui Zhao, Guohao Wang, Wenzheng Zhao, Ningmu Zou"
10.1148/radiol.251581,Zero-shot Thoracic Oncologic History Generation for Radiologists Using Retrieval-augmented Large Language Model Pipeline,"A large language model pipeline automatically summarized oncologic histories with high efficiency, accuracy, and completeness; speed and performance varied depending on the model used (GPT-4o mini, o3-mini, GPT-5-mini [OpenAI]).","['Karan Jani', 'Govind Mattay', 'Vamsi Narra', 'Anup Shetty', 'Glenwood Stancil', 'Andrew Bierhals', 'Yasasvi Tadavarthi']",[],,2026-06-01,2026-06-16,https://doi.org/10.1148/radiol.251581,,,66,"Karan Jani, Govind Mattay, Vamsi Narra, Anup Shetty, Glenwood Stancil, Andrew Bierhals, Yasasvi Tadavarthi",,228,"Zero-shot Thoracic Oncologic History Generation for Radiologists Using Retrieval-augmented Large Language Model Pipeline 

A large language model pipeline automatically summarized oncologic histories with high efficiency, accuracy, and completeness; speed and performance varied depending on the model used (GPT-4o mini, o3-mini, GPT-5-mini [OpenAI]). 

Karan Jani, Govind Mattay, Vamsi Narra, Anup Shetty, Glenwood Stancil, Andrew Bierhals, Yasasvi Tadavarthi"
10.52060/juptik.v4i1.4318,Chatbot Hybrid Fatwa MUI Menggunakan Retrieval Augmented Generation dan Large Language Model,"Aksesibilitas dokumen digital Fatwa Majelis Ulama Indonesia (MUI) yang terfragmentasi membuat pencarian informasi kurang efektif. Di sisi lain, sistem tanya jawab AI berbasis satu sumber dokumen (single-corpus) rentan menghasilkan jawaban tidak akurat (halusinasi) pada pertanyaan di luar domain. Penelitian ini mengembangkan Chatbot Hybrid Fatwa MUI menggunakan arsitektur Hybrid Retrieval bertingkat dengan dua sumber pengetahuan: dokumen Fatwa MUI sebagai korpus utama dan 12.370 hadis Bukhari-Muslim sebagai mekanisme cadangan (fallback). Sistem ini menerapkan pencarian semantik, verifikasi topik otomatis oleh model bahasa, dan pengalihan ke basis data hadis jika konteks fatwa dinilai tidak relevan. Hasil evaluasi menunjukkan peningkatan kesamaan makna jawaban sebesar 13,23% (dari 0,6664 menjadi 0,7546) dan peningkatan kesetiaan pada rujukan (faithfulness) sebesar 10,57% (dari 85,37% menjadi 94,39%), dengan tingkat penolakan (abstain rate) identik sebesar 26,83%. Pendekatan multi-korpus ini terbukti signifikan meningkatkan relevansi dan keakuratan jawaban dibandingkan RAG standar.","['Surya Hidayatullah Firdaus', 'Nazruddin Safaat H', 'Yelfi Vitriani', 'Novriyanto']",[],,2026-06-01,2026-07-04,https://doi.org/10.52060/juptik.v4i1.4318,https://www.ejournal.ummuba.ac.id/index.php/JUPTIK/article/download/4318/2057,,66,"Surya Hidayatullah Firdaus, Nazruddin Safaat H, Yelfi Vitriani, Novriyanto",,1095,"Chatbot Hybrid Fatwa MUI Menggunakan Retrieval Augmented Generation dan Large Language Model 

Aksesibilitas dokumen digital Fatwa Majelis Ulama Indonesia (MUI) yang terfragmentasi membuat pencarian informasi kurang efektif. Di sisi lain, sistem tanya jawab AI berbasis satu sumber dokumen (single-corpus) rentan menghasilkan jawaban tidak akurat (halusinasi) pada pertanyaan di luar domain. Penelitian ini mengembangkan Chatbot Hybrid Fatwa MUI menggunakan arsitektur Hybrid Retrieval bertingkat dengan dua sumber pengetahuan: dokumen Fatwa MUI sebagai korpus utama dan 12.370 hadis Bukhari-Muslim sebagai mekanisme cadangan (fallback). Sistem ini menerapkan pencarian semantik, verifikasi topik otomatis oleh model bahasa, dan pengalihan ke basis data hadis jika konteks fatwa dinilai tidak relevan. Hasil evaluasi menunjukkan peningkatan kesamaan makna jawaban sebesar 13,23% (dari 0,6664 menjadi 0,7546) dan peningkatan kesetiaan pada rujukan (faithfulness) sebesar 10,57% (dari 85,37% menjadi 94,39%), dengan tingkat penolakan (abstain rate) identik sebesar 26,83%. Pendekatan multi-korpus ini terbukti signifikan meningkatkan relevansi dan keakuratan jawaban dibandingkan RAG standar. 

Surya Hidayatullah Firdaus, Nazruddin Safaat H, Yelfi Vitriani, Novriyanto"
